TRANSTEXT 7.2.22.0
PRIMARY_LANGID 0
English Text	Translated Text	Item Type
"'%s' could not be saved because the file is read-only.\n\nPlease select another filename."	""	"text"
"'%s' could not be saved due to an unexpected error (%d)."	""	"text"
"'%s' could not be saved due to insufficient disk space.\n\nPlease select another filename."	""	"text"
"'%s' does not appear to be a valid tasklist."	""	"text"
"'%s' has no tasks due by the end of next month"	""	"text"
"'%s' has no tasks due by the end of next week"	""	"text"
"'%s' has no tasks due by the end of this month"	""	"text"
"'%s' has no tasks due by the end of this week"	""	"text"
"'%s' has no tasks due by today"	""	"text"
"'%s' has no tasks due by tomorrow"	""	"text"
"'%s' must be checked out before it can be saved."	""	"text"
"'Bar' colour for tasks having no colour"	""	"checkbox"
"'CTRL + click' to follow link"	""	"tooltip"
"'Due Today' task colour"	""	"checkbox"
"'Due' task colour"	""	"checkbox"
"'New Subtask' button places subtask"	""	"label"
"'New Task' button places task"	""	"label"
"'Non-working hours' colour"	""	"checkbox"
"'Overlapping' tasks colour"	""	"checkbox"
"'Stack' comments above (or left of) edit fields"	""	"checkbox"
"'Stack' edit fields and comments when they occupy the same position (left, right or below)"	""	"checkbox"
"'Started Today' task colour"	""	"checkbox"
"'{0}' appears in {1} tasks"	""	"tooltip"
"(completed: %s)"	""	"text"
"(handler not installed)"	""	"label"
"(Note: You should only use this option if you are certain that the incoming tasks will have the correct task IDs)"	""	"label"
"(paused)"	""	"text"
"(Week {0})"	""	"label"
"- Fixed Columns -"	""	"combobox"
"-ab <alloc by>\tSets the 'Allocated By' for the currently selected task"	""	"text"
"-at <alloc to>\tSets the 'Allocated To' for the currently selected task"	""	"text"
"-bid <task id>\tSpecifies the sibling task below which to create the new task"	""	"text"
"-c <categories>\tSets the 'Categories' for the currently selected task"	""	"text"
"-ca <attribute id> <attribute value>\tSets the value for the specified custom attribute ID for the currently selected task"	""	"text"
"-cd <date>\tSets the 'Completion Date' for the currently selected task"	""	"text"
"-cm <comments>\tAdds to the 'Comments' for the currently selected task"	""	"text"
"-cmd <id>\tSends the specified command to ToDoList's main window"	""	"text"
"-copy <attrib1> <attrib2>\tCopies the value for 'attrib1' to 'attrib2' for the currently selected task"	""	"text"
"-cs <cost>\tSets the 'Cost' for the currently selected task"	""	"text"
"-ct <time>\tSets the 'Completion Time' for the currently selected task"	""	"text"
"-dd <date>\tSets the 'Due Date' for the currently selected task"	""	"text"
"-dp <id>\tSets the 'Dependencies' for the currently selected task"	""	"text"
"-dt <time>\tSets the 'Due Time' for the currently selected task"	""	"text"
"-e\tStarts ToDoList without reloading any previously open tasklists"	""	"text"
"-f <filepath2>[|<filepath3>|<filepath4>]\tAllows additional tasklists to be opened"	""	"text"
"-fr <path>\tSets the 'File Link' for the currently selected task"	""	"text"
"-g\tEnables logging"	""	"text"
"-h, -help, -?\tDisplays a message box showing all the available commandline options"	""	"text"
"-i <inipath>\tSpecifies an alternative settings file path"	""	"text"
"-l <task link>\tOpens the specified tasklist and selects the specified task"	""	"text"
"-m <filepath>\tImports the specified file"	""	"text"
"-md <date>\tSets the 'Creation Date' of the newly created task"	""	"text"
"-mt <time>\tSets the 'Creation Time' of the newly created task"	""	"text"
"-nt <title>\tCreates a new task in the active tasklist with the specified title"	""	"text"
"-p <priority>\tSets the 'Priority' for the currently selected task"	""	"text"
"-pc <percentage>\tSets the 'Percentage Completion' for the currently selected task"	""	"text"
"-pid <task id>\tSpecifies the parent task in which to create the new task"	""	"text"
"-r <risk>\tSets the 'Risk' for the currently selected task"	""	"text"
"-s <status>\tSets the 'Status' for the currently selected task"	""	"text"
"-sd <date>\tSets the 'Start Date' for the currently selected task"	""	"text"
"-st <time>\tSets the 'Start Time' for the currently selected task"	""	"text"
"-te <hrs>\tSets the 'Time Estimate' for the currently selected task"	""	"text"
"-tg <tags>\tSets the 'Tags' for the currently selected task"	""	"text"
"-tid <task id>\tSelects the specified task in the active tasklist"	""	"text"
"-ts <hrs>\tSets the 'Time Spent' for the currently selected task"	""	"text"
"-tt <title>\tSets the 'Title' for the currently selected task"	""	"text"
"-tv <version>\tSets the 'Version' for the currently selected task"	""	"text"
"-v\tForces ToDoList to startup visible regardless of its last saved state"	""	"text"
"-x\tTurns off password prompting except when first loading an encrypted tasklist"	""	"text"
"-xid <ext_id>\tSets the 'external ID' for the currently selected task"	""	"text"
"-z\tStores attribute visibility settings within each tasklist"	""	"text"
"...maps to Task Attribute"	""	"sysheader32"
"0 (zero) is not a valid task ID"	""	"text"
"1 month"	""	"combobox"
"2 months"	""	"combobox"
"3 months"	""	"combobox"
"3rd Party Storage"	""	"menu"
"3rd Party Storage %d"	""	"menu"
"4 months"	""	"combobox"
"5 months"	""	"combobox"
"6 months"	""	"combobox"
"7 Day Rolling Average"	""	"combobox"
"9 months"	""	"combobox"
"12 months / 1 year"	""	"combobox"
"30 Day Rolling Average"	""	"combobox"
"90 Day Rolling Average"	""	"combobox"
"< Back"	""	"button"
"<filepath>\tOpens/selects the specified tasklist"	""	"text"
"<multiple formats>"	""	"text"
"<New Allocation>"	""	"text"
"<New Button>"	""	"text"
"<New Column>"	""	"text"
"<separator>"	""	"text"
"<Tasklist Attached>"	""	"text"
"<unknown format>"	""	"combobox"
"A connection to '%s' could not be established.\n\nWould you like to check your details and try again?"	""	"text"
"a screensaver is running or the desktop is locked"	""	"checkbox"
"A task with an ID of '%d' could not be found in the active tasklist"	""	"text"
"AaBbYyZz"	""	"label"
"Accumulated"	""	"combobox"
"Activate Filter"	""	"menu"
"Activate Task View"	""	"menu"
"Active Date Range (%s)"	""	"label"
"Active tasklist only"	""	"radiobutton"
"Active Tasks"	""	"text"
"Actual Work"	""	"text"
"Add Dependency"	""	"tooltip"
"Add dividing line"	""	"checkbox"
"Add Tasklist to Source Control"	"소스 제어에 태스크 리스트 추가"	"menu"
"Add Tracked Time"	""	"tooltip"
"Adjust allocations equally"	""	"radiobutton"
"Adjust allocations in proportion to their existing values"	""	"radiobutton"
"Adjust Task % Completion to match today's date"	""	"menu"
"Adjusted"	""	"text"
"After completing a task, set its 'Status' to"	""	"checkbox"
"After selected task"	""	"combobox"
"Alignment on page"	""	"label"
"All Files (*.*)"	""	"combobox"
"All Files (*.*)|*.*||"	""	"text"
"all open tasklists"	""	"combobox"
"All tasklists"	""	"radiobutton"
"Allocated By Frequency"	""	"combobox"
"Allocated To Frequency"	""	"combobox"
"Allocations"	""	"label"
"Allow editing of task references"	""	"checkbox"
"Alpha Release"	""	"text"
"Always prompt me to choose"	""	"checkbox"
"Always show 'Backlog' column"	""	"checkbox"
"Always show all available fields"	""	"radiobutton"
"Always show all fields"	""	"radiobutton"
"Analyse Logged Time"	"기록된 시간 분석"	"dialog"
"Analyse Logged Time..."	"기록된 시간 분석..."	"menu"
"and"	""	"combobox"
"And then stop the timer"	"그 다음에 타이머 중지"	"label"
"And/Or"	""	"sysheader32"
"Append the following text when pasting the 'Date/Time'"	""	"checkbox"
"Append the user's 'Created By' name when pasting the 'Date/Time'"	""	"checkbox"
"Application"	"실행파일"	"label"
"Apply changes to"	""	"groupbox"
"archive"	""	"text"
"Are you sure you want to delete all the tasks in this tasklist?"	""	"text"
"Are you sure you want to delete the application folder and its entire contents?"	""	"text"
"Are you sure you want to delete the selected tasks?"	""	"text"
"Are you sure you want to export all open tasklists to '%s'?"	""	"text"
"Are you sure you want to export the active tasklist to '%s'?"	""	"text"
"as a tasklist"	""	"combobox"
"as text in the email body"	""	"combobox"
"Attribute to 'track'"	""	"label"
"Attribute Values"	""	"sysheader32"
"Attribute Visibility"	""	"dialog"
"Auto-calculate missing allocations"	""	"checkbox"
"Auto-generate header row"	""	"combobox"
"Automatic"	""	"text"
"Automatically generate columns from task attribute values"	""	"radiobutton"
"Background Colour"	""	"tooltip"
"Backing-up installation folder..."	""	"text"
"Backlog"	""	"sysheader32"
"Bar Visibility"	""	"menu"
"Bcc"	""	"text"
"before due date"	""	"combobox"
"before start date"	""	"combobox"
"Before you can download updates you need to install the Web Update Wizard component (and then try again).\n\nWould you like to download the Web Update Wizard now?"	""	"text"
"Before you can spell check for the first time you need \nto specify the location of the Spell Checker."	""	"text"
"Beginning at"	""	"label"
"begins in %.0f minutes at %s"	""	"text"
"begins in %s at %s"	""	"text"
"begins now (%s)"	""	"text"
"Beta Release"	""	"text"
"Billing Info"	""	"text"
"Body"	""	"label"
"Bold"	""	"menu"
  "Bold"	""	"tooltip"
"Border colour"	""	"checkbox"
"Border width"	""	"label"
"Bottom of tasklist"	""	"combobox"
"Breakdown"	""	"groupbox"
"Bullet List"	""	"tooltip"
"Burndown"	""	"combobox"
"Buy"	""	"label"
"By Day"	""	"radiobutton"
"By Month"	""	"radiobutton"
"By Now"	""	"text"
"By Task"	""	"radiobutton"
"By the End of Next Year"	""	"text"
"By the End of This Year"	""	"text"
"By the Next 7 Days"	""	"text"
"By Today"	""	"menu"
  "By Today"	""	"text"
"By Tomorrow"	""	"menu"
  "By Tomorrow"	""	"text"
"By Week"	""	"radiobutton"
"By Yesterday"	""	"text"
"Calculate missing 'Due' dates as"	""	"groupbox"
"Calculate missing 'Due' dates as being the later of the task's 'Start' date and 'Today'"	""	"checkbox"
"Calculate missing 'Start' dates as"	""	"groupbox"
"Calculate missing 'Start' dates as being the earlier of the task's 'Due' date and 'Today'"	""	"checkbox"
"Caption"	""	"label"
"Category Frequency"	""	"combobox"
"Cc"	""	"text"
"Cell padding"	""	"label"
"Cell Properties"	""	"menu"
"Cell spacing"	""	"label"
"Centre Align"	""	"tooltip"
"Change Day"	""	"tooltip"
"Change Week"	""	"tooltip"
"Change..."	""	"button"
"characters"	""	"label"
"Checkbox"	""	"text"
"Checked in (read-only)"	""	"text"
"Checked out"	""	"text"
"Checkin Tasklist"	""	"text"
"Checkout Tasklist for Editing"	""	"text"
"Cleanup Ini Preferences"	"Ini 설정 지우기"	"dialog"
"Cleanup Ini Preferences..."	"Ini 설정 지우기..."	"menu"
"Clear"	"지우기"	"menu"
"Clear Background Colour"	"배경색 지우기"	"tooltip"
"Clear Background Image"	"배경 이미지 지우기"	"tooltip"
"Clear Formatting"	""	"tooltip"
"Clipboard text"	"클립보드 텍스트"	"label"
"Close"	"닫기"	"button"
"Colour bar by task priority"	""	"checkbox"
"Colour Scheme"	""	"label"
"Column Name from File..."	""	"sysheader32"
"Column span"	""	"label"
"Column Visibility"	""	"sysheader32"
"Column width"	"열 너비"	"label"
"Columns"	"열"	"label"
"Comment"	"의견"	"label"
"Comments Size"	"의견 크기"	"menu"
  "Comments Size"	"의견 크기"	"text"
"Companies"	""	"text"
"Completion Checkbox"	""	"text"
"Confidential"	""	"text"
"Configure..."	""	"button"
"Confirm Addition"	""	"text"
"Confirm Delete"	""	"text"
"Confirm Export Folder"	""	"text"
"Confirm Overwrite"	""	"text"
"Confirm Reload"	""	"text"
"Control each field individually"	""	"radiobutton"
"Conversation Topic"	""	"text"
"Convert selected object between types\nConvert Object"	""	"text"
"Copy (More)"	""	"menu"
"Copy All Values from '%s' Column"	"'%s' 열의 모든 값 복사"	"menu"
"Copy All Values from Column"	"열의 모든 값 복사"	"menu"
"Copy as HTML"	"HTML로 복사"	"menu"
"Copy Formatting"	"서식 복사"	"menu"
"Copy Link"	"링크 복사"	"menu"
"Copy Selected Values from '%s' Column"	"'%s' 열의 선택된 값 복사"	"menu"
"Copy Selected Values from Column"	"열의 선택된 값 복사"	"menu"
"Copy Tasklist Path"	"태스크 리스트 경로 복사"	"menu"
"Copying updated files to installation folder..."	""	"text"
"Cost: %s"	""	"text"
"Create Link to File"	""	"dialog"
"Create Reference to Task Here"	""	"menu"
"Create Task Dependency"	"태스크 의존성 추가"	"dialog"
"Create Tasks from Outlook"	"아웃룩에서 태스크 가져와서 생성"	"dialog"
"Created by"	"생성자"	"label"
"Creation Time"	"생성시간"	"text"
"Current folder"	"현재 폴더"	"label"
"Current Folder"	"현재 폴더"	"label"
"Current Period (%s)"	""	"text"
"Current Period: %d weekdays"	""	"label"
"Current Period: %s"	""	"text"
"Currently assigned to:\n\n'%s'"	""	"text"
"Custom Attribute"	""	"combobox"
"Custom Attribute (List)"	""	"text"
"Custom Attributes"	""	"text"
"Custom Task Attributes"	""	"dialog"
"Custom Task Attributes..."	""	"menu"
"Custom Toolbar"	""	"menu"
"d"	""	"menu"
"D"	""	"menu"
"Date prompt"	""	"text"
"Date/Time Formatting"	""	"label"
"days"	"일"	"label"
"days after previous task is completed"	""	"label"
"Days Remaining"	""	"combobox"
"Days, narrow"	""	"combobox"
"Days, wide"	""	"combobox"
"Decades \t\t\t(eg, 2000-2009)"	""	"text"
"Decades start on year '1' instead of year '0'. eg. '2001' instead of '2000'"	""	"checkbox"
"Decrease"	"감소"	"menu"
"Decrease Font Size"	"글꼴 크기 감소"	"tooltip"
"Decrease Indent"	"들여쓰기 감소"	"menu"
  "Decrease Indent"	""	"tooltip"
"Decrement Font Size"	"글꼴 크기 감소"	"menu"
"Default Attribute Visibility for New Tasklists"	""	"label"
"Default Browser..."	"기본 브라우저..."	"button"
"Default data"	"기본 데이터"	"label"
"Default Tags"	"기본 태그"	"label"
"Default Task View Visibility"	""	"label"
"Default Versions"	"기본 버전"	"label"
"Defaults"	""	"button"
"Delegator"	""	"text"
"Delete Dependency"	""	"tooltip"
"Delete Row"	""	"menu"
"Delete Task Dependency"	""	"dialog"
"Dependents"	""	"tooltip"
"Development Preview"	""	"text"
"Dictionaries (*.dic)"	""	"combobox"
"Dictionaries (*.dic)|*.dic||"	""	"text"
"Display 'Alloc To' after task's gantt bar"	""	"checkbox"
"Display 'Alloc To' column"	""	"checkbox"
"Display 'Task Title' after task's gantt bar"	""	"checkbox"
"Display 'Time Periods' in HMS format"	""	"checkbox"
"Display 'User Defined Tools'"	""	"checkbox"
"Display a task as 'Flagged' if any of its subtasks are flagged"	""	"checkbox"
"Display a task's 'Last Modified' date as the latest of its and all its subtasks' last modified dates"	""	"checkbox"
"Display a task's 'Remaining Time' as"	""	"groupbox"
"Display as percentage"	""	"text"
"Display collapsed parent tasks as 'Rollups'"	""	"button"
"Display confirmation dialog for each period logged"	""	"checkbox"
"Display delete confirmation dialog"	""	"checkbox"
"Display in toolbar"	""	"checkbox"
"Display task 'Completion' dates"	""	"checkbox"
"Display task 'Due' dates"	""	"checkbox"
"Display task 'Start' dates"	""	"checkbox"
"Display tasks as continuous between their 'Start' and 'Due' dates"	""	"checkbox"
"Display the following attributes for each task"	""	"groupbox"
"Display the image file directly\n(currently supports bmp, ico, gif, jpg, png)"	""	"radiobutton"
"Display the image file directly (currently supports bmp, ico, gif, jpg, png)"	""	"radiobutton"
"Do you want to create a new recurring task or reuse the existing recurring task ?"	""	"label"
"Do you want to delete the existing column definitions?"	""	"text"
"does not equal"	""	"text"
"does not include"	""	"text"
"Done!"	"완료!"	"text"
"Download Progress"	"다운로드 진행률"	"dialog"
"Download Progress (%d%%)"	"다운로드 진행률 (%d%%)"	"text"
"Downloading '%s' from '%s'"	"'%s' 를 '%s' 에서 다운로드 중"	"text"
"Downloading latest update... %d%%"	"최신 업데이트 다운로드 중... %d%%"	"text"
"Due by"	"마감일"	"text"
"Due date"	"마감일"	"label"
"Due date - Current date"	"마감일 - 현재일"	"radiobutton"
"Duplicate"	""	"button"
"Duplicate Tool"	""	"tooltip"
"Duration"	""	"label"
  "Duration"	""	"checklistbox"
"Dynamically adjust the height of tasks to ensure full visibility"	""	"checkbox"
"Edit Allocations"	""	"tooltip"
"Edit Dependency"	""	"tooltip"
"Edit Field Visibility"	""	"sysheader32"
"Edit Html"	""	"text"
"Edit Task Dependency"	""	"dialog"
"Edit Tool Name"	"도구 이름 편집"	"tooltip"
"Edit..."	"편집..."	"button"
"Email Selected Tasks..."	"선택된 태스크 이메일로 보내기..."	"menu"
"Embed a copy of the file which can be viewed by double-clicking the icon"	""	"radiobutton"
"Embed a link to the file which allows the original file to be edited and automatically updated"	""	"radiobutton"
"Enable"	"활성화"	"checkbox"
"Enable 'Overload' display"	""	"checkbox"
"Enable 'Underload' display"	""	"checkbox"
"Enable Editing"	"편집 활성화"	"tooltip"
"Enable Logging"	"로그 기록 활성화"	"menu"
"Enable sorting by clicking on column headers"	""	"checkbox"
"Enable support for Right-to-Left (RTL) user input"	""	"checkbox"
"End after"	""	"checkbox"
"End Date"	"종료일"	"text"
"End of Last Month"	"이전 달 말"	"menu"
"End of Last Week"	"이전 주 말"	"menu"
"End of Last Year"	"이전 연도 말"	"menu"
"End Time"	""	"text"
"Entry ID"	""	"text"
"equals"	""	"text"
"Error"	""	"menu"
"Estimated/Spent Days"	""	"combobox"
"Exclude blank list item"	""	"text"
"Expiry Time"	""	"text"
"Export Tasklist As"	""	"text"
"Export Tasklist|You must select a filename that does not match the tasklist being exported."	""	"label"
"Export tasks as 'event' items"	""	"radiobutton"
"Export tasks as 'to-do' items"	""	"radiobutton"
"Export Tasks to CSV"	""	"text"
"Export Tasks to iCalendar"	""	"dialog"
"Export To"	""	"groupbox"
"Exporting tasklists..."	""	"text"
"Features"	""	"label"
"fifth"	""	"combobox"
"File Actions>Switching Tasklists"	""	"text"
"File Checking"	""	"label"
"File Link Preferences"	""	"dialog"
"File Linking"	""	"label"
"File name"	""	"label"
"File prompt"	""	"text"
"File Timestamp Change"	""	"text"
"Files of type"	""	"label"
"Filter"	""	"text"
"Filter %d"	""	"menu"
"Filter Bar"	""	"menu"
"Filter Bar Visibility"	""	"sysheader32"
"Filterable"	""	"combobox"
"Filters"	""	"menu"
"Find"	"찾기"	"label"
"Find in Comments"	"의견에서 찾기"	"dialog"
"Find in Task Titles"	"태스크 제목에서 찾기"	"dialog"
"Find what"	""	"label"
"Find/Replace"	"찾기/바꾸기"	"label"
"Find/Replace in Comments..."	"의견에서 찾기/바꾸기"	"menu"
"Find/Replace in Task Titles..."	"태스크 제목에서 찾기/바꾸기"	"menu"
"Finish"	"마치기"	"button"
"first"	""	"combobox"
"First row is header row"	""	"combobox"
"Fixed column definitions: (optional)"	""	"groupbox"
"Flag Request"	""	"text"
"Flagged"	""	"text"
"Folder"	"폴더"	"text"
"Folder prompt"	""	"text"
"Font Attributes"	"글꼴 속성"	"tooltip"
"Font Dialog"	"글꼴 대화상자"	"tooltip"
"Font Name"	"글꼴 이름"	"label"
"Font Size"	"글꼴 크기"	"label"
"Formatted"	""	"menu"
"fourth"	""	"combobox"
"Frequency Distributions"	""	"combobox"
"From"	""	"radiobutton"
"From completion date"	""	"combobox"
"From due date"	""	"combobox"
"From start date"	""	"combobox"
"Gantt Preferences"	""	"tooltip"
"Go To Task"	"'태스크로 이동"	"dialog"
"Go To Task..."	"태스크로 이동..."	"menu"
"Graphs"	""	"systabcontrol32"
"Group By"	""	"checkbox"
"Heading 1"	""	"menu"
"Heading 2"	""	"menu"
"Heading 3"	""	"menu"
"Heading 4"	""	"menu"
"Heading 5"	""	"menu"
"Heat-map attribute"	""	"label"
"Heat-map scheme"	""	"label"
"Height"	""	"label"
"Hi %s, ToDoList is being updated"	""	"text"
"Hi %s, version %s is now available."	""	"text"
"Hide empty attribute values"	""	"checkbox"
"Hide Empty Columns"	""	"tooltip"
"Hide parent tasks"	""	"checkbox"
"Hide tasks whose Start and Due dates do not fall on the same day"	""	"checkbox"
"Hide tasks whose Start and Due times are not set"	""	"checkbox"
"Hide tasks whose Start or Due date does not fall in the current week"	""	"checkbox"
"Hide the splitter bar between the task titles and attribute columns"	""	"checkbox"
"Hide unflagged email items"	""	"checkbox"
"Hide zero '% Complete' (0%)"	""	"checkbox"
"Hide zero 'Time Periods' and 'Costs'"	""	"checkbox"
"Hide zero values"	""	"combobox"
"High"	""	"text"
"Highest"	""	"text"
"Horizontal alignment"	""	"label"
"Horizontal Line"	""	"menu"
"hours"	"시간"	"label"
"iCalendar (.ics)"	""	"combobox"
"iCalendar Files (*.ics)"	""	"combobox"
"If you reload the tasklist you will lose your current \nchanges.\n\nAre you sure you want to continue?"	""	"text"
"Ignore '{0}'"	""	"menu"
"Image"	""	"text"
"Image Files (*.png, *.bmp, *.ico, *.jpg, *.jpeg, *.tiff, *.gif)|*.png;*.bmp;*.ico;*.jpg;*.jpeg;*.tiff;*.gif||"	""	"text"
"Images..."	""	"tooltip"
"Import Tasklist"	""	"text"
"Import Tasks from CSV"	""	"text"
"Import Tasks from File"	""	"dialog"
"Import Tasks from Outline"	""	"dialog"
"Import Tasks from Outlook"	""	"dialog"
"Import Tasks from Tasklist"	""	"dialog"
"Import Tasks from Text"	""	"dialog"
"Import Tasks from Windows Clipboard"	""	"dialog"
"Import the first line as the project name"	""	"checkbox"
"Import UDTs..."	""	"button"
"Importance"	""	"text"
"Importing Csv File"	""	"dialog"
"Importing tasklist..."	""	"text"
"Include web link when pasting browser content"	""	"checkbox"
"includes"	""	"text"
"Including 'Calculated Due' dates"	""	"checkbox"
"Including 'Calculated Start' dates"	""	"checkbox"
"Increase"	"증가"	"menu"
"Increase Font Size"	"글꼴 크기 증가"	"tooltip"
"Increase Indent"	"들여쓰기 증가"	"menu"
  "Increase Indent"	"들여쓰기 증가"	"tooltip"
"Increment Font Size"	"글꼴 크기 증가"	"menu"
"Indent subtasks"	"하위 태스트 들여쓰기"	"checkbox"
"Indent subtasks at each level with"	""	"label"
"Info"	"정보"	"menu"
"Inheritable"	"상속가능"	"text"
"Inline Spell Checking"	""	"menu"
"Insert"	"삽입"	"menu"
"Insert Html"	"Html 삽입"	"dialog"
"Insert Image"	"이미지 삽입"	"tooltip"
"Insert Link"	"링크 삽입"	"tooltip"
"Insert Row"	"행 삽입"	"menu"
"Insert Table"	"테이블 삽입"	"dialog"
  "Insert Table"	"테이블 삽입"	"tooltip"
"Invalid Task ID"	""	"text"
"is due"	""	"combobox"
"is due in %.0f minutes at %s"	""	"text"
"is due in %s at %s"	""	"text"
"is due now (%s)"	""	"text"
"is greater than (>)"	""	"text"
"is greater than or equal to (>=)"	""	"text"
"is less than (<)"	""	"text"
"is less than or equal to (<=)"	""	"text"
"is not set"	""	"text"
"is set"	""	"text"
"Italic"	""	"menu"
  "Italic"	""	"tooltip"
"Justify"	""	"menu"
  "Justify"	""	"tooltip"
"KB"	""	"text"
"Keep a task's time estimate synchronised with its start and due dates (and vice versa)"	""	"checkbox"
"Language Change|Support for RTL user input will be changed next time you restart ToDoList.\n\nWould you like to restart ToDoList now?"	""	"text"
"Large Icons"	""	"menu"
"last"	""	"combobox"
"Last Mod. By"	""	"text"
"Last Modification Time"	""	"text"
"Layout"	""	"label"
"Left Align"	""	"tooltip"
"License"	""	"label"
"Limit colour depth of images to reduce tasklist file size"	""	"tooltip"
"Line of Best Fit"	""	"combobox"
"lines"	""	"label"
"Link"	""	"menu"
"link"	""	"text"
"Link Options"	""	"groupbox"
"Link to the file using 'file://...'"	""	"radiobutton"
"Loading tasklists..."	""	"text"
"Locate Spell Check Engine"	""	"text"
"Lock Colour Selection"	""	"tooltip"
"Log Task Time"	""	"dialog"
"Logged Time Analysis|Please check that neither the log file nor the report file are open in another application."	""	"text"
"Logged Time Analysis|The analysis completed successfully. Would you like to view the results?"	""	"text"
"Logged Time Analysis|There were no tasks found matching the specified time period.\n\nWould you like to try another time period?"	""	"text"
"Low"	""	"text"
"Low-Med"	""	"text"
"Lowest"	""	"text"
"Lunch break (added to duration)"	""	"checkbox"
"m"	""	"menu"
"M"	""	"menu"
"Main Toolbar"	""	"label"
"Make this list read-only"	""	"checkbox"
"Make this my automatic choice"	""	"checkbox"
"Manage edit/filter field visibility"	""	"groupbox"
"Match by task ID"	""	"radiobutton"
"Match by task title"	""	"radiobutton"
"Match case"	""	"label"
"Match whole word only"	""	"label"
"Maximise Tasklist"	""	"menu"
  "Maximise Tasklist"	""	"tooltip"
"Maximum"	""	"combobox"
"Med-High"	""	"text"
"Medium"	""	"text"
"Merge into active tasklist"	""	"radiobutton"
"Mileage"	""	"text"
"Milestone"	""	"text"
"Mind Map"	""	"systabcontrol32"
"Minimise to System Tray"	""	"menu"
"Minimum"	""	"combobox"
"Minimum height of each interval"	""	"label"
"minutes"	""	"label"
"Modify Reminder..."	""	"menu"
"Modify Table"	""	"dialog"
"Modify Task Reminder"	""	"text"
"Modify..."	""	"button"
"months"	""	"label"
"months after previous task is completed"	""	"label"
"Months, mid \t\t(eg. Jan 2013)"	""	"combobox"
"Months, narrow \t\t(eg. 01/13)"	""	"combobox"
"Months, wide \t\t(eg. January 2013)"	""	"combobox"
"More Colours..."	""	"text"
"most recent backups"	""	"label"
"Move Column Down"	""	"tooltip"
"Move Column Up"	""	"tooltip"
"Move Down"	""	"button"
"Move end of period back one month"	""	"text"
"Move end of period forward one month"	""	"text"
"Move start of period back one month"	""	"text"
"Move start of period forward one month"	""	"text"
"Move Tool Down"	""	"tooltip"
"Move Tool Up"	""	"tooltip"
"Move Up"	""	"button"
"Move whole period back one month"	""	"text"
"Move whole period forward one month"	""	"text"
"MS Sans Serif"	""	"combobox"
"Name"	""	"sysheader32"
"Nearest Day"	""	"combobox"
"Nearest Half-Day"	""	"combobox"
"Nearest Half-Year"	""	"combobox"
"Nearest Hour"	""	"combobox"
"Nearest Month"	""	"combobox"
"Nearest Quarter"	""	"combobox"
"Nearest Week"	""	"combobox"
"Nearest Year"	""	"combobox"
"New Dependent Task Above Selected Task"	"선택된 태스크 위에 의존 태스크 추가"	"menu"
"New Dependent Task Below Selected Task"	"선택된 태스크 아래에 의존 태스크 추가"	"menu"
"New file path"	""	"label"
"New project name"	""	"label"
"New Report Template"	""	"tooltip"
"Next >"	""	"button"
"No custom attributes were imported."	""	"text"
"No header row is required"	""	"combobox"
"No Reminder"	""	"text"
"No Snapping"	""	"combobox"
"No tasks were imported."	""	"text"
"Normal"	""	"menu"
